Code,Name,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
5027876859070,BEST IN SWEETCORN 340G, Household,Tin,7,8.5,5, No Tax, exclusive,,,,,,,,
5054073039455,BEST ONE CHOPPED TOMATOES 400G, Household,Tin,4.5,5.5,5, No Tax, exclusive,,,,,,,,
5054073038052,BEST ONE GARDEN PEAS 300G, Household,Tin,6,7,5, No Tax, exclusive,,,,,,,,
5054073038076,BEST ONE GARDEN PEAS IN WATER 560G, Household,Tin,8,9,5, No Tax, exclusive,,,,,,,,
5027876862599,BESTIN CURRY POWDER 25G, Household,Tin,5,6,5, No Tax, exclusive,,,,,,,,
5054073039691,BEST-ONE SELF RAISING FLOUR 1.5KG, Household,Tin,15,16,5, No Tax, exclusive,,,,,,,,
5027876861219,BESTT IN PINNEAPLE EXTRA JAM, Household,Tin,12,14,5, No Tax, exclusive,,,,,,,,
6034000180107,BETA MALT 330ML, Household,Tin,2,2.5,5, No Tax, exclusive,,,,,,,,
6181001042979,BF SOAP 290G, Household,Tin,4,4.5,5, No Tax, exclusive,,,,,,,,
3086127500163,BIC COMFORT 2 SHAVING STICKS 5IN1, Household,Tin,6,7,5, No Tax, exclusive,,,,,,,,
3086126788388,BIC MEGA LIGHTER MULTI, Household,Tin,15,16,5, No Tax, exclusive,,,,,,,,
3086125705010,BIC SENSITIVE SHAVING STICKS 5IN1, Household,Tin,5,6,5, No Tax, exclusive,,,,,,,,
6034000212006,BINE 20 5L, Household,Tin,42,43,5, No Tax, exclusive,,,,,,,,
8690536923045,BINGO AUTOMAT 3KG, Household,Tin,45,50,5, No Tax, exclusive,,,,,,,,
8690536922208,BINGO AUTOMAT COULOUR 5KG, Household,Tin,80,82,5, No Tax, exclusive,,,,,,,,
8690536922291,BINGO MANUAL FOAM BOOSTER WHITE 3KG, Household,Tin,44,45,5, No Tax, exclusive,,,,,,,,
8690536590209,BINGO OV SCOURING POWDER 500G, Household,Tin,5,6,5, No Tax, exclusive,,,,,,,,
8690536001767,BINGO SOFT LAVANTA 2L, Household,Tin,26,26.5,5, No Tax, exclusive,,,,,,,,
8690536079124,BINGO SOFT SENSITIVE 1L, Household,Tin,14,15,5, No Tax, exclusive,,,,,,,,
8690536079100,BINGO SOFT SPRING FRESHNESS 1L, Household,Tin,14,15,5, No Tax, exclusive,,,,,,,,
8690536083084,BINGO WINDOW CLEANER 500ML, Household,Tin,7,7.5,5, No Tax, exclusive,,,,,,,,
5000354700064,BIRDS CUSTARD POWDER 300G, Household,Tin,9,10.5,5, No Tax, exclusive,,,,,,,,
5055257867406,BIRTHDAY CANDLE MUSICALS, Household,Tin,15,16,5, No Tax, exclusive,,,,,,,,
4102430061463,BITBURGER NON ALCOHOLIC BEER 330ML, Household,Tin,3.5,4,5, No Tax, exclusive,,,,,,,,
